id,lat,long,id_2,lat_2,long_2,id_total,type
"83","47.3828889300","-116.5125230000","84","47.7622123300","-117.8607200000","8384","3"
"83","47.3828889300","-116.5125230000","83","47.3828889300","-116.5125230000","8383","3"
"83","47.3828889300","-116.5125230000","81","47.3143365100","-120.6896500000","8381","3"
"83","47.3828889300","-116.5125230000","57","44.7756118200","-123.8522020000","8357","2"
"83","47.3828889300","-116.5125230000","56","45.1914965100","-123.7448030000","8356","2"
"83","47.3828889300","-116.5125230000","41","46.2396430700","-122.0994960000","8341","2"
"83","47.3828889300","-116.5125230000","40","47.2936767900","-123.1816370000","8340","2"
"83","47.3828889300","-116.5125230000","39","47.0224387800","-123.5006580000","8339","3"
"83","47.3828889300","-116.5125230000","38","46.7104448000","-123.8730830000","8338","2"
"83","47.3828889300","-116.5125230000","35","47.0772485300","-123.9686490000","8335","2"
"83","47.3828889300","-116.5125230000","34","47.3850263800","-124.0754580000","8334","2"
"83","47.3828889300","-116.5125230000","32","47.9401508000","-123.7297350000","8332","2"
"83","47.3828889300","-116.5125230000","31","47.8263151600","-122.9132100000","8331","2"
"83","47.3828889300","-116.5125230000","30","46.8453611100","-122.7796990000","8330","2"
"83","47.3828889300","-116.5125230000","29","47.1531389600","-122.2906270000","8329","2"
"83","47.3828889300","-116.5125230000","28","47.4552952900","-122.1866290000","8328","2"
"83","47.3828889300","-116.5125230000","27","47.6295622000","-122.2540880000","8327","2"
"83","47.3828889300","-116.5125230000","26","47.1728142600","-121.6132350000","8326","2"
"83","47.3828889300","-116.5125230000","25","47.5874008500","-121.4825350000","8325","2"
"83","47.3828889300","-116.5125230000","24","47.8502065900","-121.9210130000","8324","2"
"83","47.3828889300","-116.5125230000","23","48.6554883500","-122.5674870000","8323","2"
"83","47.3828889300","-116.5125230000","22","48.3139814300","-122.0222000000","8322","2"
"83","47.3828889300","-116.5125230000","21","48.5079236300","-122.3594910000","8321","2"
"83","47.3828889300","-116.5125230000","20","48.7974315600","-121.9870660000","8320","2"
"83","47.3828889300","-116.5125230000","19","48.9196994700","-122.6644580000","8319","2"
"83","47.3828889300","-116.5125230000","18","49.1979643700","-122.1332250000","8318","2"
"83","47.3828889300","-116.5125230000","14","46.9711424700","-119.8572150000","8314","3"
"83","47.3828889300","-116.5125230000","11","48.0701482900","-119.0224200000","8311","3"
"83","47.3828889300","-116.5125230000","10","48.1263634200","-116.1751240000","8310","2"
"83","47.3828889300","-116.5125230000","9","46.1799145000","-112.9652400000","839","2"
"84","47.7622123300","-117.8607200000","100","49.7935887700","-124.9183430000","84100","2"
"84","47.7622123300","-117.8607200000","98","50.1222464700","-125.0564740000","8498","2"
"84","47.7622123300","-117.8607200000","97","50.4604304800","-124.1467120000","8497","2"
"84","47.7622123300","-117.8607200000","96","50.9129302100","-122.3986340000","8496","2"
"84","47.7622123300","-117.8607200000","95","50.7462197800","-121.4269500000","8495","2"
"84","47.7622123300","-117.8607200000","94","48.6571158800","-123.5175320000","8494","2"
"84","47.7622123300","-117.8607200000","93","49.4382733100","-124.2224790000","8493","2"
"84","47.7622123300","-117.8607200000","92","49.8764835700","-123.4365590000","8492","2"
"84","47.7622123300","-117.8607200000","89","49.6359785200","-117.9795440000","8489","3"
"84","47.7622123300","-117.8607200000","88","48.9870156000","-119.3551630000","8488","3"
"84","47.7622123300","-117.8607200000","86","48.7950688200","-124.0395790000","8486","2"
"84","47.7622123300","-117.8607200000","85","48.4248857400","-117.7738870000","8485","3"
"84","47.7622123300","-117.8607200000","84","47.7622123300","-117.8607200000","8484","3"
"84","47.7622123300","-117.8607200000","83","47.3828889300","-116.5125230000","8483","3"
"84","47.7622123300","-117.8607200000","81","47.3143365100","-120.6896500000","8481","3"
"84","47.7622123300","-117.8607200000","57","44.7756118200","-123.8522020000","8457","2"
"84","47.7622123300","-117.8607200000","56","45.1914965100","-123.7448030000","8456","2"
"84","47.7622123300","-117.8607200000","41","46.2396430700","-122.0994960000","8441","2"
"84","47.7622123300","-117.8607200000","40","47.2936767900","-123.1816370000","8440","2"
"84","47.7622123300","-117.8607200000","39","47.0224387800","-123.5006580000","8439","3"
"84","47.7622123300","-117.8607200000","38","46.7104448000","-123.8730830000","8438","2"
"84","47.7622123300","-117.8607200000","35","47.0772485300","-123.9686490000","8435","2"
"84","47.7622123300","-117.8607200000","34","47.3850263800","-124.0754580000","8434","2"
"84","47.7622123300","-117.8607200000","32","47.9401508000","-123.7297350000","8432","2"
"84","47.7622123300","-117.8607200000","31","47.8263151600","-122.9132100000","8431","2"
"84","47.7622123300","-117.8607200000","30","46.8453611100","-122.7796990000","8430","2"
"84","47.7622123300","-117.8607200000","29","47.1531389600","-122.2906270000","8429","2"
"84","47.7622123300","-117.8607200000","28","47.4552952900","-122.1866290000","8428","2"
"84","47.7622123300","-117.8607200000","27","47.6295622000","-122.2540880000","8427","2"
"84","47.7622123300","-117.8607200000","26","47.1728142600","-121.6132350000","8426","2"
"84","47.7622123300","-117.8607200000","25","47.5874008500","-121.4825350000","8425","2"
"84","47.7622123300","-117.8607200000","24","47.8502065900","-121.9210130000","8424","2"
"84","47.7622123300","-117.8607200000","23","48.6554883500","-122.5674870000","8423","2"
"84","47.7622123300","-117.8607200000","22","48.3139814300","-122.0222000000","8422","2"
"84","47.7622123300","-117.8607200000","21","48.5079236300","-122.3594910000","8421","2"
"84","47.7622123300","-117.8607200000","20","48.7974315600","-121.9870660000","8420","2"
"84","47.7622123300","-117.8607200000","19","48.9196994700","-122.6644580000","8419","2"
"84","47.7622123300","-117.8607200000","18","49.1979643700","-122.1332250000","8418","2"
"84","47.7622123300","-117.8607200000","14","46.9711424700","-119.8572150000","8414","3"
"84","47.7622123300","-117.8607200000","11","48.0701482900","-119.0224200000","8411","3"
"84","47.7622123300","-117.8607200000","10","48.1263634200","-116.1751240000","8410","2"
"84","47.7622123300","-117.8607200000","9","46.1799145000","-112.9652400000","849","2"
"85","48.4248857400","-117.7738870000","100","49.7935887700","-124.9183430000","85100","2"
"85","48.4248857400","-117.7738870000","98","50.1222464700","-125.0564740000","8598","2"
"85","48.4248857400","-117.7738870000","97","50.4604304800","-124.1467120000","8597","2"
"85","48.4248857400","-117.7738870000","96","50.9129302100","-122.3986340000","8596","2"
"85","48.4248857400","-117.7738870000","95","50.7462197800","-121.4269500000","8595","2"
"85","48.4248857400","-117.7738870000","94","48.6571158800","-123.5175320000","8594","2"
"85","48.4248857400","-117.7738870000","93","49.4382733100","-124.2224790000","8593","2"
"85","48.4248857400","-117.7738870000","92","49.8764835700","-123.4365590000","8592","2"
"85","48.4248857400","-117.7738870000","89","49.6359785200","-117.9795440000","8589","3"
"85","48.4248857400","-117.7738870000","88","48.9870156000","-119.3551630000","8588","3"
"85","48.4248857400","-117.7738870000","86","48.7950688200","-124.0395790000","8586","2"
"85","48.4248857400","-117.7738870000","85","48.4248857400","-117.7738870000","8585","3"
"85","48.4248857400","-117.7738870000","84","47.7622123300","-117.8607200000","8584","3"
